Package,Built
secr,3.5.0
seewave,3.5.0
segmented,3.5.0
Segmentor3IsBack,3.5.0
SEL,3.5.0
selectr,3.5.0
sem,3.5.0
SemiPar,3.5.0
semTools,3.5.0
sendmailR,3.5.0
seqinr,3.5.0
seriation,3.5.0
servr,3.5.0
sessioninfo,3.5.1
setRNG,3.5.0
sets,3.5.0
sf,3.5.0
sfsmisc,3.5.0
sgeostat,3.5.0
shape,3.5.0
shapefiles,3.5.0
shapes,3.5.0
shiny,3.5.0
shinyAce,3.5.0
shinyBS,3.5.0
shinycssloaders,3.5.0
shinydashboard,3.5.0
shinyjs,3.5.0
shinystan,3.5.0
shinythemes,3.5.0
showtext,3.5.0
showtextdb,3.5.0
shrink,3.5.0
signal,3.5.0
SimComp,3.5.0
simputation,3.5.0
sirad,3.5.0
sirt,3.5.0
SkewHyperbolic,3.5.0
slackr,3.5.0
slam,3.5.0
Sleuth2,3.5.0
sloop,3.5.0
sm,3.5.0
smacof,3.5.0
smoothSurv,3.5.0
SMPracticals,3.5.0
sn,3.5.0
sna,3.5.0
snakecase,3.5.0
snow,3.5.0
SnowballC,3.5.0
snowfall,3.5.0
sodium,3.5.0
soiltexture,3.5.0
solrium,3.5.0
som,3.5.0
sourcetools,3.5.0
sp,3.5.0
spacetime,3.5.0
spacyr,3.5.0
spam,3.5.0
sparseLDA,3.5.0
SparseM,3.5.0
sparseMVN,3.5.0
SpatialEpi,3.5.0
spatstat,3.5.0
spatstat.data,3.5.0
spatstat.utils,3.5.0
spbabel,3.5.0
spd,3.5.0
spData,3.5.0
spdep,3.5.0
spectrolab,3.5.0
speedglm,3.5.0
spelling,3.5.0
splancs,3.5.0
splus2R,3.5.0
spMaps,3.5.0
sqldf,3.5.0
SQUAREM,3.5.0
ssanv,3.5.0
st,3.5.0
stabledist,3.5.0
stabs,3.5.0
StanHeaders,3.5.0
statmod,3.5.0
statnet,3.5.0
statnet.common,3.5.0
stdReg,3.5.0
stm,3.5.0
stopwords,3.5.0
storr,3.5.0
stringdist,3.5.0
stringi,3.5.1
stringr,3.5.0
strucchange,3.5.0
styler,3.5.0
subplex,3.5.0
SuppDists,3.5.0
survey,3.5.0
svd,3.5.0
svglite,3.5.0
svUnit,3.5.0
sweep,3.5.0
sybil,3.5.0
symbols,3.5.0
symDMatrix,3.5.0
sys,3.5.0
sysfonts,3.5.0
systemfit,3.5.0
tables,3.5.0
TAM,3.5.0
taxize,3.5.0
tcltk2,3.5.0
TeachingDemos,3.5.0
tensor,3.5.0
tensorA,3.5.0
tergm,3.5.0
testit,3.5.0
testthat,3.5.0
texreg,3.5.0
TH.data,3.5.0
threejs,3.5.0
tibble,3.5.1
tibbletime,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidytemplate,3.5.1
tidytext,3.5.0
tidythis,3.5.1
